File_Name,First_Author_Surname,Year_Publication,Title,Topic
PIIS1533002820301377.pdf,Karanicolas,2020,Regional Therapies for Colorectal Liver Metastases: Systematic Review and Clinical Practice Guideline,LiverMetastases
lap vs open.pdf,Haney,2021,A systematic review and meta-analysis of randomized controlled trials comparing laparoscopic and open liver resection,LiverMetastases
11605_2018_Article_4031.pdf,Hasselgren,2019,Future Liver Remnant (FLR) Increase in Patients with Colorectal Liver Metastases Is Highest the First Week After Portal Vein Occlusion,LiverMetastases
cancers-15-00435.pdf,Nassar,2023,Multiple Laparoscopic Liver Resection for Colorectal Liver Metastases,LiverMetastases
s00432-024-05951-8.pdf,Vogl,2024,The combination of transarterial chemoembolization and microwave ablation is superior to microwave ablation alone for liver metastases from colorectal cancer,LiverMetastases
diagnostics-12-00867.pdf,Donati,2022,Chemotherapy-Induced Liver Injury in Patients with Colorectal Liver Metastases: Findings from MR Imaging,LiverMetastases
s10434-019-07740-x.pdf,Shindoh,2019,Dynamic Changes in Normal Liver Parenchymal Volume During Chemotherapy for Colorectal Cancer: Liver Atrophy as an Alternate Marker of Chemotherapy-Associated Liver Injury,LiverMetastases
10.1177_1756284820924194.pdf,Gangi,2020,Chemotherapy-associated liver injury in colorectal cancer,LiverMetastases
cancers-12-01779.pdf,Nieuwenhuizen,2020,Resectability and Ablatability Criteria for the Treatment of Liver Only Colorectal Metastases: Multidisciplinary Consensus Document from the COLLISION Trial Group,LiverMetastases
s12957-023-03256-7.pdf,Tian,2023,Triplet‐drug chemotherapy combined with anti‐EGFR antibody as an effective therapy for patients with initially unresectable metastatic colorectal cancer: a meta-analysis,LiverMetastases
dmr-05-10.pdf,Ng,2022,Minimally-invasive approach to synchronous colorectal cancer liver metastases: outcomes from a single centre,LiverMetastases
atm-10-18-952.pdf,Antoniotti,2022,FOLFOXIRI plus bevacizumab in the treatment of metastatic colorectal cancer patients with unresectable liver metastases,LiverMetastases
s10434-024-16558-1.pdf,Haddad,2025,Propensity Score‑Matched Analysis of Liver Venous Deprivation and Portal Vein Embolization Before Planned Hepatectomy in Patients with Extensive Colorectal Liver Metastases and High‑Risk Factors for Inadequate Regeneration,LiverMetastases
s10434-014-4291-4.pdf,Ratti,2015,Strategies to Increase the Resectability of Patients with Colorectal Liver Metastases: A Multi-center Case-Match Analysis of ALPPS and Conventional Two-Stage Hepatectomy,LiverMetastases
or-17-11799.pdf,Filoni,2024,Multimodal Management of Colorectal Liver Metastases: State of the Art,LiverMetastases
National-Video-Conference-April-2016-Article-6.pdf,Kelly,2015,"Synchronous Colorectal Liver Metastasis: A Network Meta-Analysis Review Comparing Classical, Combined, and Liver-First Surgical Strategies",LiverMetastases
S2468125321002193.pdf,Bonney,2021,Liver transplantation for non-resectable colorectal liver metastases: the International Hepato-Pancreato-Biliary Association consensus guidelines,LiverMetastases
bjc2013245.pdf,Loupakis,2013,Histopathologic evaluation of liver metastases from colorectal cancer in patients treated with FOLFOXIRI plus bevacizumab,LiverMetastases
hbsn-09-01-65.pdf,Tran Cao,2020,Repeat hepatectomy for recurrent colorectal cancer liver metastases after two-stage hepatectomy—limitations and opportunities,LiverMetastases
s10353-023-00796-w.pdf,Dong,2023,Surgical management of colorectal liver metastases—a practical clinical approach,LiverMetastases
Annals of Gastroent Surgery - 2024 - Kron - New trends in surgery for colorectal liver metastasis.pdf,Kron,2024,New trends in surgery for colorectal liver metastasis,LiverMetastases
s10434-012-2274-x.pdf,Narita,2012,What Is a Safe Future Liver Remnant Size in Patients Undergoing Major Hepatectomy for Colorectal Liver Metastases and Treated by Intensive Preoperative Chemotherapy?,LiverMetastases
PIIS1365182X15313757.pdf,Schwarz,2013,Systemic cytotoxic and biological therapies of colorectal liver metastases: expert consensus statement,LiverMetastases
WJGO-13-1043.pdf,Guo,2021,Neoadjuvant chemotherapy for colorectal liver metastases: A contemporary review of the literature,LiverMetastases
nihms-1927869.pdf,Morris,2023,Treatment of Metastatic Colorectal Cancer: ASCO Guideline,LiverMetastases
first-page-pdf-2.pdf,Moazzam,2023,Resection of Colorectal Liver Metastases: Prognostic Impact of Tumor Burden Score Varies with Unilateral Versus Bilateral Metastatic Spread,LiverMetastases
fonc-12-844067.pdf,Xiao,2022,Accurate Prediction of Metachronous Liver Metastasis in Stage I-III Colorectal Cancer Patients Using Deep Learning With Digital Pathological Images,LiverMetastases
Journal of Surgical Oncology - 2022 - Gumiero - Timing of resection of synchronous colorectal liver metastasis  A.pdf,Gumiero,2022,Timing of resection of synchronous colorectal liver metastasis: A systematic review and meta‑analysis,LiverMetastases
1-s2.0-S1499387215604222-main.pdf,Del Fabbro,2016,Surgical treatment of synchronous colorectal liver and lung metastases: the usefulness of thoracophrenolaparotomy for single stage resection,LiverMetastases
Defining resectability of colorectal liver metastases.pdf,Fisher,2015,Defining resectability of colorectal liver metastases,LiverMetastases
528.pdf,Li,2016,Simultaneous hepatic resection benefits patients with synchronous colorectal cancer liver metastases,LiverMetastases
International Journal of Surgical Oncology - 2011 - Haddad - Colorectal Liver Metastases-2.pdf,Haddad,2011,Colorectal Liver Metastases,LiverMetastases
s10434-021-10220-w.pdf,Giuliante,2021,Liver-First Approach for Synchronous Colorectal Metastases: Analysis of 7360 Patients from the LiverMetSurvey Registry,LiverMetastases
chung-et-al-2012-response-evaluation-in-patients-with-colorectal-liver-metastases-recist-version-1-1-versus-modified-ct.pdf,Chung,2012,Response Evaluation in Patients With Colorectal Liver Metastases: RECIST Version 1.1 Versus Modified CT Criteria,LiverMetastases
hbsn-09-01-25.pdf,Lillemoe,2020,"Surgical approach to synchronous colorectal liver metastases: staged, combined, or reverse strategy",LiverMetastases
PIIS1365182X22002842.pdf,Plua-Muñiz,2022,"HOW DIFFERENT THE SYNCHRONOUS AND METACHRONOUS COLORECTAL LIVER METASTASIS, CAN BE?",LiverMetastases
s00423-017-1611-8.pdf,Albertsmeier,2017,Synchronous colorectal liver metastases: focus on the elderly An Effectiveness Study from Routine Care,LiverMetastases
WJG-18-25.pdf,Wang,2012,An update on chemotherapy of colorectal liver metastases,LiverMetastases
6690531.pdf,Leconte,1999,Involvement of circulating CEA in liver metastases from colorectal cancers re-examined in a new experimental model,LiverMetastases
PIIS1091255X24001446.pdf,Machairas,2024,Simultaneous resection for colorectal cancer with synchronous liver metastases: current state-of-the-art,LiverMetastases
or_37_5_2553_PDF.pdf,Al Bandar,2017,Current status and future perspectives on treatment of liver metastasis in colorectal cancer (Review),LiverMetastases
s12957-019-1746-x.pdf,Jeon,2019,Clinical outcomes of complete cytoreduction with concurrent liver resection followed by hyperthermic intraperitoneal chemotherapy for synchronous peritoneal and liver metastatic colorectal cancer,LiverMetastases
PIIS1091255X24006802.pdf,Varty,2025,Optimal treatment strategies for borderline resectable liver metastases from colorectal cancer,LiverMetastases
Cancer Medicine - 2023 - Su - Five_E2_80_90year survival post hepatectomy for colorectal liver metastases in a real_E2_80_90world Chinese.pdf,Su,2023,Five-year survival post hepatectomy for colorectal liver metastases in a real-world Chinese cohort: Recurrence patterns and prediction for potential cure,LiverMetastases
fphar-15-1374136.pdf,Jiang,2024,A network meta-analysis of efficacy and safety for first-line and maintenance therapies in patients with unresectable colorectal liver metastases,LiverMetastases
oncotarget-v8i60-20934.pdf,Mao,2017,A postoperative scoring system for post-hepatectomy early recurrence of colorectal liver metastases,LiverMetastases
kjhbps-15-206.pdf,Son,2011,Is neoadjuvant chemotherapy necessary for patients with initially resectable colorectal liver metastases in the era of effective chemotherapy?,LiverMetastases
1-s2.0-S2589845024001313-main.pdf,Chan,2024,Management of Colorectal Cancer with Synchronous Liver Metastases: A systematic review of national and International Clinical Guidelines (CoSMIC-G),LiverMetastases
1-s2.0-S0748798322007387-main.pdf,Díaz,2023,Two stage hepatectomy (TSH) versus ALPPS for initially unresectable colorectal liver metastases: A systematic review and meta-analysis,LiverMetastases
hpb0015-0858.pdf,Hubert,2013,Sinusoidal obstruction syndrome (SOS) related to chemotherapy for colorectal liver metastases: factors predictive of severe SOS lesions and protective effect of bevacizumab,LiverMetastases
s12094-019-02182-z.pdf,Vera,2020,"Multidisciplinary management of liver metastases in patients with colorectal cancer: a consensus of SEOM, AEC, SEOR, SERVEI, and SEMNIM",LiverMetastases
s12957-019-1771-9.pdf,Engstrand,2019,Synchronous and metachronous liver metastases in patients with colorectal cancer—towards a clinically relevant definition,LiverMetastases
accardo.pdf,Accardo,2025,Multimodal treatment of colorectal liver metastases: Where are we? Current strategies and future perspectives,LiverMetastases
1-s2.0-S2352345X23001601-main.pdf,Patel,2023,Updated Management of Colorectal Cancer Liver Metastases: Scientific Advances Driving Modern Therapeutic Innovations,LiverMetastases
s00423-015-1308-9.pdf,Massmann,2015,Transarterial chemoembolization (TACE) for colorectal liver metastases —current status and critical review,LiverMetastases
s40644-023-00547-w.pdf,Li,2023,Early evaluation of liver metastasis using spectral CT to predict outcome in patients with colorectal cancer treated with FOLFOXIRI and bevacizumab,LiverMetastases
Gastroenterology Research and Practice - 2017 - Lee - The Roles of Carcinoembryonic Antigen in Liver Metastasis and.pdf,Lee,2017,The Roles of Carcinoembryonic Antigen in Liver Metastasis and Therapeutic Approaches,LiverMetastases
Assessing_resectability_of_colorectal_liver_metast.pdf,Dix,2018,Assessing resectability of colorectal liver metastases: How do different subspecialties interpret the same data?,LiverMetastases
hpb0015-0091.pdf,Adams,2013,Selection for hepatic resection of colorectal liver metastases: expert consensus statement,LiverMetastases
s12957-023-03253-w.pdf,Chen,2023,Efficacy of transarterial chemoembolization with drug-eluting beads combined with systemic chemotherapy and targeted therapy in colorectal cancer liver metastasis,LiverMetastases
s41698-023-00353-4.pdf,Zeineddine,2023,Survival improvement for patients with metastatic colorectal cancer over twenty years,LiverMetastases
oncolo_13_1_51.pdf,Pawlik,2008,Expanding Criteria for Resectability of Colorectal Liver Metastases,LiverMetastases
270_2022_Article_3176.pdf,Korenblik,2022,"STUDY PROTOCOL INTERVENTIONAL ONCOLOGY Dragon 1 Protocol Manuscript: Training, Accreditation, Implementation and Safety Evaluation of Portal and Hepatic Vein Embolization (PVE/HVE) to Accelerate Future Liver Remnant (FLR) Hypertrophy",LiverMetastases
s00423-024-03418-5.pdf,Yilmaz,2024,"Role of liver augmentation prior to hepatic resection – a survey on standards, procedures, and indications in Germany, Switzerland, and Austria",LiverMetastases
fonc-13-1181522.pdf,Chen,2023,Prognosis of resectable colorectal liver metastases after surgery associated with pathological features of primary tumor,LiverMetastases
PIIS0748798321009513.pdf,Meyer,2022,Treatment of metachronous colorectal cancer metastases in the Netherlands: A population-based study,LiverMetastases
1-s2.0-S0039606023001204-main.pdf,Ayabe,2023,"Optimizing the future liver remnant: Portal vein embolization, hepatic venous deprivation, and associating liver partition and portal veinligation for staged hepatectomy",LiverMetastases
PIIS1365182X15302872.pdf,Tsai,2010,Two-stage strategy for patients with extensive bilateral colorectal liver metastases,LiverMetastases
cancers-14-01063.pdf,Ivey,2022,Current Surgical Management Strategies for Colorectal Cancer Liver Metastases,LiverMetastases
CEH-7-44208.pdf,Coco,2021,Associating liver partition and portal vein ligation for staged hepatectomy (ALPPS) in colorectal liver metastases: review of the literature,LiverMetastases
s12885-017-3925-x.pdf,Engstrand,2018,"Colorectal cancer liver metastases –a population-based study on incidence, management and survival",LiverMetastases
s00330-006-0372-5.pdf,Vogl,2007,Colorectal liver metastases: regional chemotherapy via transarterial chemoembolization (TACE) and hepatic chemoperfusion: an update,LiverMetastases
comparison_of_prognosis_among_patients_with.35.pdf,Zhang,2022,"Comparison of prognosis among patients with colorectal cancer liver metastases treated by surgical resection, radiofrequency ablation and HIFU: a protocol for network meta-analysis",LiverMetastases
s00464-023-09895-x.pdf,Vreeland,2023,SAGES/AHPBA guidelines for the use of minimally invasive surgery for the surgical treatment of colorectal liver metastases (CRLM),LiverMetastases
1-s2.0-S1365182X24024535-main.pdf,D'Angelica,2025,Assessment and treatment considerations for patients with colorectal liver metastases: AHPBA consensus guideline and update for surgeons,LiverMetastases
soa60022_269_277.pdf,Minagawa,2007,Simplified Staging System for Predicting the Prognosis of Patients With Resectable Liver Metastasis Development and Validation,LiverMetastases
ijgii-13-4-109.pdf,Colombo,2024,How to treat liver metastases in colorectal cancer: A review,LiverMetastases
432_2021_Article_3880.pdf,Acciuffi,2022,Solitary colorectal liver metastasis: overview of treatment strategies and role of prognostic factors,LiverMetastases
JGO-V3N1-01.pdf,Weiss,2012,Patient selection for hepatic resection for metastatic colorectal cancer,LiverMetastases
1-s2.0-S0748798325004275-main.pdf,van Gansewinkel,2025,"Combined peritoneal and liver metastases in colorectal cancer: A Dutch nationwide population-based analysis of incidence, treatment and survival",LiverMetastases
znab457.pdf,Siriwardena,2022,Synchronous resection of primary colorectal cancer with liver metastases: two birds with one stone?,LiverMetastases
s12957-019-1641-5.pdf,Ichida,2019,Optimal indication criteria for neoadjuvant chemotherapy in patients with resectable colorectal liver metastases,LiverMetastases
1645.full.pdf,Matsumura,2022,Highly Advanced Colorectal Liver Metastases Successfully Treated With Fluorouracil Plus Leucovorin Monotherapy and Microwave Ablation,LiverMetastases
1-s2.0-S2666262021000188-main.pdf,Hua,2021,Colorectal cancer liver metastases: An update of treatment strategy and future perspectives,LiverMetastases
5529.full.pdf,Nagai,2014,Carcinoembryonic Antigen Half-life Is an Early Predictor of Therapeutic Effects in Induction Chemotherapy for Liver Metastases from Colorectal Cancer,LiverMetastases
s11912-024-01548-z.pdf,Karaoğlan,2024,"Advancements in the Management of Synchronous Colorectal Liver Metastases: A Comprehensive Review of Surgical, Systemic, and Local Treatment Modalities",LiverMetastases
82412552.pdf,Ejaz,2014,Synchronous primary colorectal and liver metastasis: impact of operative approach on clinical outcomes and hospital charges,LiverMetastases
nihms528296.pdf,Shindoh,2013,Optimal Future Liver Remnant in Patients Treated with Extensive Preoperative Chemotherapy for Colorectal Liver Metastases,LiverMetastases
